Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,8p2,C_0603_1608Metric,102.5,-75.475,90.0,bottom
C10,8p2,C_0603_1608Metric,104.5,-75.5,90.0,top
C11,8p2,C_0603_1608Metric,106.5,-75.5,90.0,top
C12,8p2,C_0603_1608Metric,108.5,-75.5,90.0,top
C13,8p2,C_0603_1608Metric,113.0,-75.5,90.0,top
C14,8p2,C_0603_1608Metric,115.0,-75.45,90.0,top
C15,8p2,C_0603_1608Metric,117.0,-75.5,90.0,top
C16,8p2,C_0603_1608Metric,119.0,-75.425,90.0,top
C2,8p2,C_0603_1608Metric,104.5,-75.5,90.0,bottom
C3,8p2,C_0603_1608Metric,106.5,-75.45,90.0,bottom
C4,8p2,C_0603_1608Metric,108.5,-75.5,90.0,bottom
C5,8p2,C_0603_1608Metric,113.0,-75.5,90.0,bottom
C6,8p2,C_0603_1608Metric,115.0,-75.525,90.0,bottom
C7,8p2,C_0603_1608Metric,117.0,-75.4,90.0,bottom
C8,8p2,C_0603_1608Metric,119.0,-75.3,90.0,bottom
C9,8p2,C_0603_1608Metric,102.5,-75.5,90.0,top
J1,Bus_PCI_Express_x1,BUS_PCIexpress_x1,110.9,-67.0,180.0,top
J10,IPEX-004,U.FL_Molex_MCRF_73412-0110_Vertical,119.075,-100.8,180.0,bottom
J12,IPEX-004,U.FL_Molex_MCRF_73412-0110_Vertical,118.925,-85.8,180.0,bottom
J13,IPEX-004,U.FL_Molex_MCRF_73412-0110_Vertical,102.4,-85.9,180.0,top
J14,IPEX-004,U.FL_Molex_MCRF_73412-0110_Vertical,103.375,-101.0,180.0,top
J15,IPEX-004,U.FL_Molex_MCRF_73412-0110_Vertical,107.7,-100.9,180.0,top
J16,IPEX-004,U.FL_Molex_MCRF_73412-0110_Vertical,108.1,-85.9,180.0,top
J17,IPEX-004,U.FL_Molex_MCRF_73412-0110_Vertical,113.1,-85.9,180.0,top
J18,IPEX-004,U.FL_Molex_MCRF_73412-0110_Vertical,113.8,-101.0,180.0,top
J19,IPEX-004,U.FL_Molex_MCRF_73412-0110_Vertical,118.925,-100.9,180.0,top
J2,IPEX-004,U.FL_Molex_MCRF_73412-0110_Vertical,102.5,-85.9,180.0,bottom
J20,IPEX-004,U.FL_Molex_MCRF_73412-0110_Vertical,119.0,-85.9,180.0,top
J3,IPEX-004,U.FL_Molex_MCRF_73412-0110_Vertical,102.6,-100.9,180.0,bottom
J6,IPEX-004,U.FL_Molex_MCRF_73412-0110_Vertical,107.7,-100.9,180.0,bottom
J7,IPEX-004,U.FL_Molex_MCRF_73412-0110_Vertical,108.1,-85.9,180.0,bottom
J8,IPEX-004,U.FL_Molex_MCRF_73412-0110_Vertical,112.9,-85.9,180.0,bottom
J9,IPEX-004,U.FL_Molex_MCRF_73412-0110_Vertical,113.4,-100.9,180.0,bottom
R1,120,R_0603_1608Metric,102.5,-78.825,90.0,bottom
R10,91k,R_0603_1608Metric,113.0,-75.5,90.0,bottom
R11,120,R_0603_1608Metric,115.0,-78.825,90.0,bottom
R12,91k,R_0603_1608Metric,115.0,-75.525,90.0,bottom
R13,120,R_0603_1608Metric,117.1,-78.825,90.0,bottom
R14,91k,R_0603_1608Metric,117.0,-75.5,90.0,bottom
R15,120,R_0603_1608Metric,119.0,-78.775,90.0,bottom
R16,91k,R_0603_1608Metric,119.0,-75.3,90.0,bottom
R17,120,R_0603_1608Metric,102.5,-78.825,90.0,top
R18,91k,R_0603_1608Metric,102.5,-75.45,90.0,top
R19,120,R_0603_1608Metric,104.5,-78.825,90.0,top
R2,91k,R_0603_1608Metric,102.5,-75.5,90.0,bottom
R20,91k,R_0603_1608Metric,104.5,-75.5,90.0,top
R21,120,R_0603_1608Metric,106.5,-78.865,90.0,top
R22,91k,R_0603_1608Metric,106.5,-75.5,90.0,top
R23,120,R_0603_1608Metric,108.5,-78.865,90.0,top
R24,91k,R_0603_1608Metric,108.5,-75.5,90.0,top
R25,120,R_0603_1608Metric,113.0,-78.825,90.0,top
R26,91k,R_0603_1608Metric,113.0,-75.5,90.0,top
R27,120,R_0603_1608Metric,115.0,-78.825,90.0,top
R28,91k,R_0603_1608Metric,115.0,-75.5,90.0,top
R29,120,R_0603_1608Metric,117.0,-78.825,90.0,top
R3,120,R_0603_1608Metric,104.5,-78.825,90.0,bottom
R30,91k,R_0603_1608Metric,117.0,-75.5,90.0,top
R31,120,R_0603_1608Metric,119.0,-78.825,90.0,top
R32,91k,R_0603_1608Metric,119.0,-75.5,90.0,top
R4,91k,R_0603_1608Metric,104.5,-75.5,90.0,bottom
R5,120,R_0603_1608Metric,106.5,-78.825,90.0,bottom
R6,91k,R_0603_1608Metric,106.5,-75.5,90.0,bottom
R7,120,R_0603_1608Metric,108.5,-78.825,90.0,bottom
R8,91k,R_0603_1608Metric,108.5,-75.5,90.0,bottom
R9,120,R_0603_1608Metric,113.0,-78.8,90.0,bottom
