Comment,Designator,Footprint,LCSC
8.2p,"C201,C202,C203,C204,C301,C302,C303,C304,C401,C402,C403,C404,C501,C502,C503,C504,C601,C701,C801,C901",R_0603_1608Metric,C1634
120,"R201,R202,R203,R204,R301,R302,R303,R304,R401,R402,R403,R404,R501,R502,R503,R504,R601,R701,R801,R901",R_0603_1608Metric,C22787
86.6k,"R205,R206,R207,R208,R305,R306,R307,R308,R405,R406,R407,R408,R505,R506,R507,R508,R602,R702,R802,R902",R_0603_1608Metric,C23254
RJHSE-5380,J501,RJ45_Amphenol_RJHSE5380,
RJHSE-5380,J401,RJ45_Amphenol_RJHSE5380,
RJHSE-5380,J301,RJ45_Amphenol_RJHSE5380,
RJHSE-5380,J201,RJ45_Amphenol_RJHSE5380,
IPEX-004,J901,U.FL_Molex_MCRF_73412-0110_Vertical,
IPEX-004,J801,U.FL_Molex_MCRF_73412-0110_Vertical,
IPEX-004,J701,U.FL_Molex_MCRF_73412-0110_Vertical,
IPEX-004,J601,U.FL_Molex_MCRF_73412-0110_Vertical,
Conn_02x15_Odd_Even,J102,PinHeader_2x15_P2.54mm_Vertical,
