Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,8.2p,R_0603_1608Metric,108.48,-92.346667,180.0,top
C202,8.2p,R_0603_1608Metric,108.48,-87.746667,180.0,top
C203,8.2p,R_0603_1608Metric,108.43,-86.186667,180.0,top
C204,8.2p,R_0603_1608Metric,108.505,-81.446667,180.0,top
C301,8.2p,R_0603_1608Metric,108.55,-152.066667,180.0,top
C302,8.2p,R_0603_1608Metric,108.55,-147.466667,180.0,top
C303,8.2p,R_0603_1608Metric,108.5,-145.906667,180.0,top
C304,8.2p,R_0603_1608Metric,108.575,-141.166667,180.0,top
C401,8.2p,R_0603_1608Metric,108.55,-132.133334,180.0,top
C402,8.2p,R_0603_1608Metric,108.55,-127.533334,180.0,top
C403,8.2p,R_0603_1608Metric,108.5,-125.973334,180.0,top
C404,8.2p,R_0603_1608Metric,108.575,-121.233334,180.0,top
C501,8.2p,R_0603_1608Metric,108.55,-112.200001,180.0,top
C502,8.2p,R_0603_1608Metric,108.55,-107.600001,180.0,top
C503,8.2p,R_0603_1608Metric,108.5,-106.040001,180.0,top
C504,8.2p,R_0603_1608Metric,108.575,-101.300001,180.0,top
C601,8.2p,R_0603_1608Metric,97.6,-121.8,0.0,top
C701,8.2p,R_0603_1608Metric,97.625,-126.975,0.0,top
C801,8.2p,R_0603_1608Metric,97.575,-111.5,0.0,top
C901,8.2p,R_0603_1608Metric,97.575,-116.600001,0.0,top
J102,Conn_02x15_Odd_Even,PinHeader_2x15_P2.54mm_Vertical,86.995,-116.94,0.0,top
J201,RJHSE-5380,RJ45_Amphenol_RJHSE5380,124.1625,-85.996667,-90.0,top
J301,RJHSE-5380,RJ45_Amphenol_RJHSE5380,124.2325,-145.716667,-90.0,top
J401,RJHSE-5380,RJ45_Amphenol_RJHSE5380,124.2325,-125.783334,-90.0,top
J501,RJHSE-5380,RJ45_Amphenol_RJHSE5380,124.2325,-105.850001,-90.0,top
J601,IPEX-004,U.FL_Molex_MCRF_73412-0110_Vertical,102.175,-121.125,-90.0,top
J701,IPEX-004,U.FL_Molex_MCRF_73412-0110_Vertical,102.2,-126.3,-90.0,top
J801,IPEX-004,U.FL_Molex_MCRF_73412-0110_Vertical,102.15,-110.825,-90.0,top
J901,IPEX-004,U.FL_Molex_MCRF_73412-0110_Vertical,102.15,-115.925001,-90.0,top
R201,120,R_0603_1608Metric,111.505,-92.346667,180.0,top
R202,120,R_0603_1608Metric,111.53,-89.346667,180.0,top
R203,120,R_0603_1608Metric,111.53,-86.146667,180.0,top
R204,120,R_0603_1608Metric,111.58,-83.046667,180.0,top
R205,86.6k,R_0603_1608Metric,108.48,-90.846667,180.0,top
R206,86.6k,R_0603_1608Metric,108.455,-89.346667,180.0,top
R207,86.6k,R_0603_1608Metric,108.455,-84.686667,180.0,top
R208,86.6k,R_0603_1608Metric,108.48,-83.046667,180.0,top
R301,120,R_0603_1608Metric,111.575,-152.066667,180.0,top
R302,120,R_0603_1608Metric,111.6,-149.066667,180.0,top
R303,120,R_0603_1608Metric,111.6,-145.866667,180.0,top
R304,120,R_0603_1608Metric,111.65,-142.766667,180.0,top
R305,86.6k,R_0603_1608Metric,108.55,-150.566667,180.0,top
R306,86.6k,R_0603_1608Metric,108.525,-149.066667,180.0,top
R307,86.6k,R_0603_1608Metric,108.525,-144.406667,180.0,top
R308,86.6k,R_0603_1608Metric,108.55,-142.766667,180.0,top
R401,120,R_0603_1608Metric,111.575,-132.133334,180.0,top
R402,120,R_0603_1608Metric,111.6,-129.133334,180.0,top
R403,120,R_0603_1608Metric,111.6,-125.933334,180.0,top
R404,120,R_0603_1608Metric,111.65,-122.833334,180.0,top
R405,86.6k,R_0603_1608Metric,108.55,-130.633334,180.0,top
R406,86.6k,R_0603_1608Metric,108.525,-129.133334,180.0,top
R407,86.6k,R_0603_1608Metric,108.525,-124.473334,180.0,top
R408,86.6k,R_0603_1608Metric,108.55,-122.833334,180.0,top
R501,120,R_0603_1608Metric,111.575,-112.200001,180.0,top
R502,120,R_0603_1608Metric,111.6,-109.200001,180.0,top
R503,120,R_0603_1608Metric,111.6,-106.000001,180.0,top
R504,120,R_0603_1608Metric,111.65,-102.900001,180.0,top
R505,86.6k,R_0603_1608Metric,108.55,-110.700001,180.0,top
R506,86.6k,R_0603_1608Metric,108.525,-109.200001,180.0,top
R507,86.6k,R_0603_1608Metric,108.525,-104.540001,180.0,top
R508,86.6k,R_0603_1608Metric,108.55,-102.900001,180.0,top
R601,120,R_0603_1608Metric,95.275,-121.0,90.0,top
R602,86.6k,R_0603_1608Metric,97.6,-120.2,0.0,top
R701,120,R_0603_1608Metric,95.3,-126.175,-90.0,top
R702,86.6k,R_0603_1608Metric,97.625,-125.375,0.0,top
R801,120,R_0603_1608Metric,95.25,-110.7,90.0,top
R802,86.6k,R_0603_1608Metric,97.575,-109.9,0.0,top
R901,120,R_0603_1608Metric,95.25,-115.800001,90.0,top
R902,86.6k,R_0603_1608Metric,97.575,-115.000001,0.0,top
